일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
2018-01-18 13:00,6.2,333.5,1.4,0,51.4
2018-01-18 14:00,6.9,335.6,1.3,0,53.4
2018-01-18 15:00,6.5,335.9,1.8,0,56.4
2018-01-18 16:00,6.2,330.2,1.8,0,59.4
2018-01-18 17:00,5.8,329,2.2,0,54.2
2018-01-18 18:00,5.2,321.2,1.4,0,56.4
2018-01-18 19:00,4.1,44.7,0.9,0,53.1
2018-01-18 20:00,3.6,40,1.2,0,54.3
2018-01-18 21:00,2.9,47.8,0.5,0,62.5
2018-01-18 22:00,2.5,83.2,1.2,0,63.3
2018-01-18 23:00,1.8,92.4,0.8,0,67.3
2018-01-19 0:00,0.9,103.4,1.1,0,72.6
2018-01-19 1:00,0.1,132.7,0.6,0,77.1
2018-01-19 2:00,-0.7,134.3,0.6,0,80.1
2018-01-19 3:00,-0.8,118.6,0.5,0,74.6
2018-01-19 4:00,-1.4,0,0.4,0,76.2
2018-01-19 5:00,-2,0,0.1,0,83.3
2018-01-19 6:00,-2.4,0,0.1,0,85.3
2018-01-19 7:00,-3,0,0.2,0,84.1
2018-01-19 8:00,-2.7,0,0.3,0,79.6
2018-01-19 9:00,-2.2,0,0.1,0,82.3
2018-01-19 10:00,-0.6,302.3,0.7,0,73.8
2018-01-19 11:00,1.8,0,0.4,0,59.6
2018-01-19 12:00,2.9,318.6,0.8,0,43.4
2018-01-19 13:00,4.6,237.5,1.2,0,35.6
2018-01-19 14:00,4.9,310.3,1.5,0,19
2018-01-19 15:00,5.1,326.2,1.1,0,23.2
2018-01-19 16:00,5.1,306.3,1.6,0,27
2018-01-19 17:00,4.9,308.5,1.7,0,26
2018-01-19 18:00,3.7,356.9,0.7,0,33.3
2018-01-19 19:00,2,112,0.9,0,41.3
2018-01-19 20:00,1.1,148,0.5,0,45.7
2018-01-19 21:00,0,0,0.3,0,50.4
2018-01-19 22:00,-0.8,0,0.1,0,59.7
2018-01-19 23:00,-1.6,0,0.4,0,63.8
2018-01-20 0:00,-2.1,0,0.2,0,67.8
2018-01-20 1:00,-2.8,0,0.1,0,69.5
2018-01-20 2:00,-2.9,0,0,0,73.3
2018-01-20 3:00,-3.5,0,0.2,0,74.6
2018-01-20 4:00,-3.5,0,0.3,0,76.7
2018-01-20 5:00,-4,0,0,0,78.3
2018-01-20 6:00,-4.2,0,0,0,78.8
2018-01-20 7:00,-4,0,0,0,80.8
2018-01-20 8:00,-4,0,0.2,0,80.6
2018-01-20 9:00,-2.9,0,0.4,0,76.5
2018-01-20 10:00,-0.8,0,0.4,0,69.1
2018-01-20 11:00,1.7,0,0.4,0,61.3
2018-01-20 12:00,4,0,0.4,0,53.6
